Date,Count
2016-11-01,1
2016-11-03,2
2016-11-02,1
2016-11-05,1
2016-11-04,7
2016-11-07,7
2016-11-06,1
2017-04-27,19
2017-07-10,19
2017-07-11,10
2010-11-30,1
2017-07-15,3
2015-07-21,1
2016-04-29,6
2016-04-28,11
2016-04-21,1
2016-04-20,2
2016-04-23,1
2016-04-22,2
2016-04-25,2
2016-04-26,2
2011-08-19,1
2011-08-16,3
2011-08-15,2
2015-07-28,5
2011-08-12,1
2012-05-03,3
2012-09-17,1
2011-11-06,2
2011-11-07,13
2011-11-04,6
2015-10-15,1
2015-10-12,1
2011-11-03,15
2015-10-10,1
2015-10-11,1
2011-11-08,3
2012-10-18,1
2012-10-16,2
2011-12-31,2
2013-04-08,55
2013-04-03,7
2013-04-07,34
2014-10-25,1
2011-03-30,1
2011-03-31,4
2017-06-20,20
2013-07-21,9
2013-07-20,1
2012-02-13,3
2012-02-10,1
2012-02-11,2
2017-02-28,1
2017-02-26,2
2017-02-27,17
2017-02-24,3
2017-02-25,1
2017-02-22,1
2017-02-23,6
2017-02-20,8
2017-02-21,1
2013-03-29,3
2013-03-28,2
2010-03-00,2
2013-03-26,1
2013-03-20,1
2010-03-06,1
2016-12-31,1
2016-12-30,4
2017-01-05,27
2017-01-04,3
2017-01-07,3
2017-01-06,31
2017-01-01,6
2017-06-25,2
2017-01-03,3
2017-01-09,4
2017-05-31,20
2012-06-15,1
2016-11-30,8
2017-09-03,14
2017-09-02,7
2015-08-28,3
2015-08-22,3
2015-08-23,6
2015-08-21,3
2015-08-26,2
2015-08-27,1
2015-08-24,1
2015-08-25,1
2013-08-14,1
2013-08-17,4
2013-08-16,1
2010-11-28,1
2010-11-21,1
2010-11-22,2
2015-04-26,1
2015-04-20,1
2016-04-18,5
2016-04-19,3
2016-04-15,1
2016-04-17,1
2012-05-13,1
2012-05-10,1
2012-05-15,1
2012-05-14,2
2010-12-08,1
2015-03-19,3
2015-03-12,1
2015-03-13,8
2015-03-10,6
2015-03-11,5
2015-03-16,1
2015-03-17,1
2015-03-14,1
2015-03-15,1
2013-11-04,3
2013-11-06,1
2013-11-07,2
2013-11-01,2
2013-11-02,4
2013-11-03,3
2011-11-15,3
2011-11-14,2
2011-11-17,3
2015-10-06,3
2015-10-01,3
2011-11-10,5
2015-10-02,2
2015-10-09,2
2011-11-18,3
2012-10-28,3
2012-10-21,1
2011-12-29,4
2014-10-19,1
2013-04-19,2
2013-04-18,2
2013-04-10,13
2014-10-15,1
2011-03-29,2
2011-03-28,1
2011-03-27,2
2011-03-23,2
2013-07-14,1
2013-07-16,1
2013-07-11,2
2013-07-12,1
2012-02-06,3
2012-02-02,2
2016-08-30,1
2016-08-31,4
2010-04-29,3
2010-04-28,2
2013-03-13,1
2013-03-14,23
2013-03-17,274
2013-03-18,1
2012-01-27,1
2012-01-24,1
2010-03-14,3
2012-01-20,4
2014-01-09,1
2016-12-06,1
2016-12-07,1
2016-12-00,3
2016-12-02,3
2017-01-30,9
2017-01-31,10
2017-05-28,1
2017-05-23,10
2017-05-22,2
2017-05-21,2
2017-05-26,1
2017-05-25,7
2017-05-24,9
2011-11-01,3
2016-11-22,1
2016-11-21,5
2014-10-28,1
2014-10-29,5
2014-10-26,4
2014-10-27,5
2016-11-29,1
2016-11-28,2
2014-10-22,4
2014-10-23,12
2014-10-20,1
2014-10-21,4
2015-08-31,3
2013-08-20,3
2013-08-21,9
2013-08-23,2
2013-08-27,2
2013-08-28,1
2013-08-29,2
2010-11-11,1
2010-11-14,1
2010-11-17,1
2013-12-12,3
2013-12-13,1
2013-12-10,1
2013-12-11,1
2013-12-15,1
2010-08-15,3
2010-08-12,2
2016-04-03,2
2016-04-01,2
2016-04-05,1
2016-04-04,1
2016-04-09,1
2016-04-08,2
2010-12-16,1
2010-12-13,1
2010-12-12,1
2010-12-18,3
2015-03-09,2
2015-03-08,4
2015-03-01,2
2015-03-02,2
2015-03-05,4
2015-03-04,1
2013-11-19,1
2011-09-30,1
2012-10-31,1
2011-12-11,2
2011-12-14,13
2017-07-30,8
2017-07-31,9
2014-06-23,1
2014-06-25,1
2014-06-24,2
2014-06-27,2
2013-04-29,3
2013-04-24,69
2013-04-25,1
2013-04-21,1
2014-05-08,2
2014-05-09,2
2017-04-29,4
2014-05-02,7
2014-05-01,1
2014-05-07,1
2011-11-28,6
2015-10-30,1
2015-10-31,2
2011-11-22,2
2011-11-23,21
2011-11-24,3
2011-11-25,2
2016-09-16,2
2016-09-19,4
2017-04-23,1
2013-07-03,2
2013-07-02,2
2013-07-07,1
2013-07-04,1
2017-04-26,6
2012-08-30,1
2012-08-31,1
2014-01-06,2
2014-01-04,166
2014-01-05,1
2016-08-29,8
2016-08-25,12
2016-08-24,1
2016-08-27,2
2016-08-21,3
2016-08-23,7
2016-08-22,2
2017-02-01,34
2017-02-02,18
2017-02-03,19
2017-02-04,3
2017-02-05,1
2017-02-06,14
2017-02-07,21
2017-02-08,12
2017-02-09,14
2013-03-06,1
2013-03-05,177
2013-03-03,3
2013-03-01,66
2012-01-31,1
2013-03-09,40
2013-03-08,8
2016-12-19,1
2016-12-11,22
2016-12-10,1
2016-12-14,4
2017-01-29,4
2017-01-28,1
2017-01-27,22
2017-01-26,11
2017-01-25,7
2017-01-24,13
2017-01-23,19
2017-01-22,6
2017-01-20,7
2016-07-02,6
2016-07-01,1
2016-07-06,5
2016-07-07,1
2016-07-05,2
2016-07-08,3
2016-07-09,1
2012-06-30,5
2014-10-31,2
2015-08-08,4
2015-08-09,1
2015-08-04,8
2015-08-05,4
2015-08-06,6
2015-08-07,8
2015-08-01,5
2015-08-02,3
2015-08-03,11
2013-12-03,1
2013-12-02,4
2013-12-07,1
2013-12-09,1
2010-08-09,1
2010-12-25,1
2015-04-08,1
2015-04-09,2
2015-04-01,3
2015-04-02,1
2015-04-05,2
2011-09-29,1
2011-09-28,2
2011-09-23,1
2011-09-22,1
2011-09-24,4
2011-09-27,2
2011-12-07,6
2011-12-03,5
2011-12-01,2
2010-08-20,1
2011-12-09,1
2014-06-15,5
2014-06-16,3
2014-06-10,1
2014-06-11,1
2014-06-13,7
2014-08-30,1
2014-08-31,1
2014-05-19,5
2014-05-18,4
2014-05-13,1
2014-05-12,1
2014-05-17,1
2015-10-29,8
2015-10-28,6
2015-10-27,6
2015-10-26,5
2015-10-25,2
2015-10-24,6
2015-10-23,4
2015-10-22,2
2011-11-30,4
2012-08-29,1
2012-08-28,1
2012-08-21,1
2012-08-20,1
2012-08-22,3
2012-08-27,1
2012-08-26,1
2016-08-10,3
2014-01-14,1
2016-08-12,5
2016-08-15,8
2016-08-16,3
2016-08-18,2
2016-08-19,3
2014-01-19,15
2017-02-17,9
2017-02-16,11
2017-02-14,3
2017-02-13,5
2017-02-12,6
2017-02-11,2
2017-02-10,3
2017-02-19,2
2017-02-18,5
2012-01-03,10
2012-01-04,6
2012-01-06,7
2012-01-07,11
2012-01-08,5
2012-01-09,1
2014-02-25,1
2014-02-24,1
2014-02-27,2
2014-02-20,1
2014-02-22,1
2016-09-18,1
2012-02-28,3
2012-02-27,2
2012-02-25,1
2012-02-22,1
2012-02-21,1
2012-02-20,1
2016-07-11,6
2016-07-13,8
2016-07-12,8
2016-07-16,2
2016-07-18,2
2012-06-29,2
2012-06-28,2
2014-10-04,1
2014-10-05,1
2014-10-08,3
2015-08-13,14
2015-08-12,7
2015-08-11,6
2015-08-10,5
2015-08-17,4
2015-08-16,6
2015-08-15,3
2015-08-14,1
2015-08-19,3
2015-08-18,3
2013-09-19,1
2013-09-10,1
2013-09-16,1
2013-09-15,1
2014-09-09,13
2014-09-06,1
2014-09-07,1
2014-09-04,9
2014-09-05,1
2014-09-03,1
2013-12-31,1
2015-07-17,2
2015-07-14,2
2015-07-15,3
2015-07-12,1
2015-07-13,1
2015-07-10,3
2010-12-30,1
2016-03-08,1
2016-03-09,4
2016-03-06,1
2016-03-02,1
2016-03-03,4
2016-03-01,1
2015-03-21,1
2015-03-20,1
2015-03-27,1
2015-03-29,1
2015-04-15,2
2010-03-03,4
2011-09-18,1
2011-09-14,1
2011-09-15,1
2011-09-16,2
2011-09-17,3
2014-04-19,6
2014-05-28,11
2014-05-25,5
2014-05-27,1
2014-05-20,4
2014-05-21,9
2014-05-22,1
2014-05-23,2
2014-06-08,4
2014-06-02,6
2014-06-01,1
2014-06-06,2
2016-08-07,2
2016-08-06,5
2016-08-05,1
2016-08-04,1
2016-08-03,18
2016-08-02,1
2016-08-01,4
2016-08-00,1
2016-08-09,11
2016-08-08,3
2012-01-17,6
2012-01-16,6
2012-01-14,3
2012-01-12,2
2012-01-11,8
2012-01-10,6
2014-02-10,1
2014-02-12,1
2014-02-16,1
2014-02-17,3
2014-02-18,2
2014-02-19,2
2011-01-30,1
2014-01-28,1
2015-12-20,1
2014-01-21,1
2016-07-25,4
2016-07-26,2
2016-07-27,5
2016-07-20,3
2016-07-22,3
2016-07-23,1
2016-07-28,1
2016-07-29,1
2014-10-17,2
2014-10-16,1
2013-02-28,1
2014-10-14,1
2014-10-13,3
2014-10-12,2
2014-10-10,1
2013-02-22,107
2013-02-23,9
2013-02-20,101
2013-02-21,20
2013-02-26,11
2013-02-27,70
2013-02-24,5
2013-02-25,9
2013-09-09,1
2013-09-08,1
2013-09-03,9
2013-09-02,1
2013-12-28,1
2014-09-19,3
2014-09-18,2
2014-09-15,5
2014-09-14,7
2014-09-16,8
2014-09-11,3
2014-09-10,3
2014-09-13,3
2010-02-28,1
2010-02-21,1
2015-07-09,9
2015-07-04,4
2015-07-07,1
2015-07-01,5
2015-07-03,3
2015-07-02,7
2016-03-19,4
2016-03-18,3
2016-03-14,2
2016-03-17,14
2016-03-16,1
2016-03-11,4
2016-03-10,4
2016-03-13,3
2016-03-12,2
2010-08-28,2
2010-10-23,2
2010-08-23,1
2010-10-25,1
2011-09-07,2
2011-09-06,1
2011-09-05,1
2011-09-04,1
2016-01-06,1
2016-05-26,4
2016-05-27,7
2017-08-13,8
2017-08-12,9
2016-05-23,2
2016-05-20,2
2016-05-21,1
2014-05-30,4
2016-06-06,1
2012-08-07,1
2012-08-05,4
2017-03-18,4
2017-03-19,5
2014-02-06,1
2014-02-09,1
2014-02-08,3
2011-01-22,1
2011-01-26,2
2017-09-01,20
2011-02-06,3
2011-02-04,1
2011-02-05,1
2014-01-31,1
2010-06-28,2
2014-09-20,11
2014-09-21,4
2017-03-30,1
2014-09-23,5
2014-09-24,6
2010-02-15,1
2010-02-17,2
2010-02-10,1
2015-07-30,8
2015-07-31,2
2017-07-29,2
2017-07-28,13
2017-07-25,33
2017-07-24,15
2017-07-27,13
2017-07-26,9
2017-07-21,18
2017-07-20,24
2017-07-23,18
2017-07-22,11
2016-03-21,5
2016-03-23,2
2016-03-24,8
2016-03-25,2
2016-03-26,2
2016-03-27,1
2016-03-28,2
2016-03-29,5
2016-02-29,3
2014-12-02,6
2012-11-10,3
2012-11-11,4
2012-11-19,1
2013-01-03,180
2013-01-07,1
2015-12-31,1
2011-01-15,1
2011-01-10,3
2011-01-11,1
2011-01-12,3
2011-02-18,3
2011-02-11,1
2011-02-10,1
2011-02-15,1
2011-02-14,1
2011-02-17,2
2011-02-16,2
2016-09-28,1
2016-09-29,1
2016-09-22,1
2016-09-20,5
2016-09-21,4
2016-09-26,1
2016-09-24,3
2017-08-29,27
2013-02-04,1
2013-02-06,8
2013-02-03,204
2017-08-02,12
2017-08-03,16
2013-09-21,1
2017-08-01,4
2017-08-06,7
2017-08-07,13
2017-08-04,10
2017-08-05,7
2017-08-08,17
2017-08-09,12
2017-03-21,1
2017-03-23,5
2017-03-22,6
2017-03-25,2
2017-03-24,3
2017-03-27,16
2014-09-30,2
2017-03-29,12
2017-03-28,30
2010-02-03,2
2010-02-01,5
2010-02-07,1
2011-05-28,3
2010-02-04,1
2011-05-23,1
2011-05-22,1
2010-12-01,1
2015-07-27,1
2015-07-26,1
2017-07-12,5
2017-07-13,9
2017-07-14,6
2015-07-22,2
2017-07-16,7
2017-07-17,33
2017-07-18,31
2017-07-19,9
2015-07-29,3
2016-06-22,1
2016-03-30,5
2016-06-28,2
2010-10-04,1
2010-10-06,3
2010-10-07,1
2010-10-01,2
2010-10-02,1
2012-11-04,2
2012-11-07,11
2012-11-06,1
2012-11-01,1
2012-11-02,2
2012-12-28,59
2012-12-29,3
2012-12-26,16
2012-12-23,1
2012-12-20,37
2015-05-28,1
2013-05-15,2
2013-05-12,2
2013-05-11,1
2015-05-23,2
2015-05-27,139
2015-05-26,5
2015-01-30,1
2015-01-31,1
2016-02-19,1
2016-02-12,1
2016-02-13,1
2016-02-10,4
2015-11-09,3
2015-11-02,2
2015-11-03,3
2015-11-06,3
2015-11-07,1
2015-11-04,1
2015-11-05,4
2011-11-02,10
2014-01-17,1
2013-01-13,1
2013-01-17,19
